SN2006bh 0.010900 340.067083 -66.485083
filter u
 832.92 14.899 0.011
 833.91 14.906 0.012
 835.93 15.082 0.014
 838.88 15.379 0.015
 841.92 15.750 0.012
 845.88 16.366 0.013
 846.88 16.546 0.011
 853.92 17.589 0.015
 858.86 18.073 0.036
 861.87 18.248 0.026
 862.84 18.297 0.028
 866.84 18.436 0.040
 867.84 18.470 0.042
 870.85 18.550 0.077
 871.83 18.775 0.068
 872.82 18.673 0.044
 891.79 19.200 0.056
filter g
 831.90 14.411 0.006
 832.92 14.402 0.006
 833.91 14.367 0.006
 838.88 14.547 0.006
 841.92 14.764 0.006
 845.88 15.153 0.006
 846.88 15.256 0.006
 850.85 15.709 0.006
 853.92 16.048 0.007
 858.86 16.544 0.006
 861.87 16.782 0.006
 862.84 16.857 0.007
 866.84 17.086 0.009
 867.84 17.097 0.010
 870.85 17.193 0.011
 871.83 17.221 0.009
 872.82 17.243 0.010
 891.79 17.632 0.008
filter r
 831.90 14.510 0.006
 832.92 14.492 0.006
 833.91 14.455 0.005
 838.88 14.558 0.005
 841.92 14.815 0.005
 845.88 15.107 0.005
 846.88 15.140 0.005
 850.85 15.234 0.005
 853.92 15.307 0.006
 858.86 15.599 0.005
 861.87 15.859 0.005
 862.84 15.941 0.005
 866.84 16.208 0.005
 867.84 16.252 0.007
 870.85 16.380 0.006
 871.83 16.431 0.006
 872.82 16.469 0.008
 891.79 17.184 0.007
filter i
 831.90 14.977 0.007
 832.92 15.013 0.008
 833.91 15.062 0.007
 835.93 15.126 0.012
 838.88 15.273 0.005
 841.92 15.601 0.007
 845.88 15.803 0.006
 846.88 15.792 0.007
 850.85 15.675 0.005
 853.92 15.607 0.008
 858.86 15.677 0.005
 861.87 15.944 0.005
 862.84 16.023 0.008
 866.84 16.330 0.008
 867.84 16.385 0.009
 870.85 16.549 0.008
 871.83 16.605 0.009
 872.82 16.657 0.010
 891.79 17.483 0.014
filter B
 831.90 14.476 0.006
 832.92 14.447 0.006
 833.91 14.429 0.006
 835.93 14.493 0.006
 838.88 14.668 0.006
 841.92 14.955 0.006
 845.88 15.460 0.006
 846.88 15.595 0.006
 850.85 16.135 0.007
 853.92 16.490 0.008
 858.86 16.996 0.029
 861.87 17.216 0.010
 862.84 17.275 0.010
 866.84 17.466 0.014
 867.84 17.502 0.016
 870.85 17.587 0.018
 871.83 17.611 0.016
 872.82 17.644 0.016
 891.79 17.997 0.014
filter V
 831.90 14.510 0.006
 832.92 14.473 0.006
 833.91 14.452 0.006
 835.93 14.459 0.006
 838.88 14.535 0.006
 841.92 14.690 0.006
 845.88 14.982 0.006
 846.88 15.044 0.006
 850.85 15.326 0.006
 853.92 15.534 0.006
 858.86 15.942 0.008
 861.87 16.176 0.007
 862.84 16.261 0.007
 866.84 16.473 0.009
 867.84 16.518 0.009
 870.85 16.636 0.009
 871.83 16.669 0.009
 872.82 16.708 0.009
 891.79 17.275 0.009
filter Y
 829.91 14.898 0.019
 829.91 14.905 0.027
 830.89 14.921 0.016
 830.90 14.924 0.025
 837.92 15.474 0.022
 837.93 15.500 0.028
 848.89 15.539 0.019
 848.89 15.566 0.029
 851.87 15.310 0.015
 851.87 15.317 0.019
 855.91 15.030 0.022
 855.92 15.044 0.026
 860.88 14.990 0.016
 860.88 14.957 0.014
 863.90 15.219 0.019
 863.91 15.216 0.024
 864.87 15.290 0.017
 864.88 15.292 0.031
 868.87 15.512 0.019
 868.88 15.569 0.029
filter Ydw
 843.89 15.848 0.011
 843.90 15.836 0.011
 846.91 15.710 0.009
 846.92 15.726 0.009
filter J
 829.91 14.803 0.021
 829.91 14.813 0.018
 830.89 14.812 0.018
 830.90 14.818 0.019
 848.89 16.599 0.089
 848.89 16.571 0.074
 851.87 16.361 0.053
 851.87 16.293 0.053
 855.91 16.139 0.038
 855.92 16.078 0.036
 860.88 16.220 0.042
 860.88 16.099 0.035
 863.90 16.438 0.036
 863.91 16.484 0.036
 864.87 16.585 0.036
 864.88 16.557 0.034
 868.87 17.048 0.080
 868.88 16.828 0.049
 843.89 16.475 0.014
 843.90 16.457 0.014
 846.91 16.594 0.014
 846.92 16.574 0.015
filter H
 829.91 15.022 0.018
 829.91 15.012 0.022
 830.89 15.017 0.022
 830.90 14.993 0.022
 848.89 15.376 0.029
 848.89 15.392 0.032
 851.87 15.319 0.031
 851.87 15.398 0.030
 855.91 15.290 0.028
 855.92 15.292 0.030
 860.88 15.584 0.052
 863.90 15.797 0.036
 863.91 15.766 0.036
 864.87 15.818 0.035
 864.88 15.824 0.040
 868.87 16.038 0.056
 868.88 16.133 0.068
 843.89 15.619 0.018
 843.90 15.648 0.020
