SN	RA	DEC	Host	Morph	zhelio	Ref	DiscG	DiscI
2004dt	02:02:12.77	-00:05:51.5	NGC 799	(R')SB(s)a	0.0197	IAUC 8386	LOSS	
2004ef	22:42:10.02	+19:59:40.4	UGC 12158	Sb	0.0310	IAUC 8399	Boles/Armstrong	
2004eo	20:32:54.19	+09:55:42.7	NGC 6928	SB(s)ab	0.0157	IAUC 8406	Itagaki	
2004ey	21:49:07.81	+00:26:39.2	UGC 11816	SB(rs)c	0.0158	IAUC 8419	Tenagra-II	
2004gc	05:21:49.95	+06:40:33.7	ARP 327 NED04	cdots	0.0321	IAUC 8442	del Olmo/Tenagra-II	
2004gs	08:38:23.18	+17:37:39.8	MCG +03-22-020	S0?	0.0267	IAUC 8453	LOSS	
2004gu	12:46:24.72	+11:56:56.1	FGC 175A	cdots	0.0459	IAUC 8454	ROTSE-III	
2005A	   02:30:43.25	-02:56:19.8	NGC 958	SB(rs)c	0.0191	IAUC 8459	LOSS	
2005M	   09:37:32.36	+23:12:02.7	NGC 2930	S?	0.0220	IAUC 8470	Puckett	
2005W	   01:50:45.77	+21:45:35.4	NGC 691	SA(rs)bc	0.0089	IAUC 8475	Hirose	
2005ag	14:56:43.65	+09:19:42.5	J14564322+0919361	cdots	0.0797	IAUC 8484	LOSS	
2005al	13:50:00.33	-30:34:34.2	NGC 5304	E+ pec	0.0124	IAUC 8488	BRASS	
2005am	09:16:12.47	-16:18:16.0	NGC 2811	SB(rs)a	0.0079	IAUC 8490	Perth	
2005be	14:59:32.72	+16:40:11.6	J14593310+1640070	cdots	0.0350	IAUC 8506	Puckett	
2005bg	12:17:17.18	+16:22:17.6	MCG +03-31-93	Sab	0.0231	CBET 133	ROTSE-III	
2005bl	12:04:12.26	+20:24:24.8	NGC 4059	E	0.0241	IAUC 8512	LOSS/Puckett	
2005bo	12:49:41.03	-11:05:47.3	NGC 4708	SA(r)ab pec?	0.0139	CBET 141	Puckett	
2005el	05:11:48.72	+05:11:39.4	NGC 1819	SB0	0.0149	CBET 233	LOSS	
2005eq	03:08:49.31	-07:01:59.7	MCG -01-09-006	SB(rs)cd?	0.0290	IAUC 8608	LOSS	
