# Created by M.D. Woods -- 2024-12-06 11:19:40.351810 -- NUM TARGETS: 121
# Avg. 'EBVhost': 0.21336363636363637 +/- 0.022016528925619838
# Avg. 'st': 0.875603305785124 +/- 0.014057851239669423
objname, z, z_cmb, origin, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err
SN2004ef, 0.030967, 0.02977, DR3, 0.816, 0.003, 53264.38, 0.48, 0.179, 0.014
SN2004eo, 0.01569, 0.014737, DR3, 0.818, 0.005, 53278.56, 0.04, 0.147, 0.024
SN2004ey, 0.015777, 0.014627, DR3, 1.01, 0.003, 53304.17, 0.02, 0.042, 0.022
SN2004gc, 0.032078, 0.030713, DR3, 0.923, 0.023, 53324.78, 0.78, 0.246, 0.051
SN2004gs, 0.026627, 0.028277, DR3, 0.689, 0.004, 53356.45, 0.5, 0.211, 0.011
SN2004gu, 0.045827, 0.046897, DR3, 1.25, 0.011, 53361.75, 0.27, 0.184, 0.017
SN2005A, 0.019127, 0.01834, DR3, 0.963, 0.011, 53379.68, 0.63, 1.192, 0.018
SN2005M, 0.021997, 0.02558, DR3, 1.208, 0.002, 53405.74, 0.02, 0.12, 0.012
SN2005W, 0.008883, 0.00795, DR3, 0.923, 0.008, 53412.08, 0.04, 0.248, 0.018
SN2005ag, 0.07937, 0.08008, DR3, 1.19, 0.007, 53413.36, 0.55, 0.095, 0.013
SN2005al, 0.012393, 0.013287, DR3, 0.858, 0.003, 53430.43, 0.54, 0.019, 0.011
SN2005am, 0.007893, 0.008967, DR3, 0.725, 0.003, 53437.19, 0.12, 0.099, 0.014
SN2005be, 0.035, 0.035577, DR3, 0.76, 0.018, 53461.17, 0.61, 0.044, 0.024
SN2005bg, 0.02307, 0.024157, DR3, 1.002, 0.027, 53469.63, 0.68, 0.098, 0.028
SN2005bl, 0.024043, 0.025113, DR3, 0.387, 0.012, 53482.60, 0.1, 0.204, 0.031
SN2005bo, 0.013887, 0.015013, DR3, 0.85, 0.007, 53478.93, 0.1, 0.348, 0.014
SN2005el, 0.0149, 0.014883, DR3, 0.838, 0.003, 53646.71, 0.5, 0.012, 0.011
SN2005eq, 0.028957, 0.02835, DR3, 1.122, 0.01, 53654.50, 0.06, 0.149, 0.016
SN2005hc, 0.045907, 0.044497, DR3, 1.193, 0.006, 53667.16, 0.06, 0.094, 0.012
SN2005hj, 0.057967, 0.05695, DR3, 1.28, 0.016, 53673.67, 0.23, 0.11, 0.021
SN2005iq, 0.03402, 0.03293, DR3, 0.872, 0.004, 53687.58, 0.04, 0.042, 0.01
SN2005ir, 0.076307, 0.075233, DR3, 1.121, 0.021, 53684.58, 0.14, 0.13, 0.013
SN2005kc, 0.01511, 0.01389, DR3, 0.899, 0.006, 53697.76, 0.04, 0.33, 0.026
SN2005ke, 0.004877, 0.004483, DR3, 0.418, 0.003, 53698.97, 0.1, 0.23, 0.018
SN2005ki, 0.019193, 0.02037, DR3, 0.825, 0.003, 53705.33, 0.1, 0.034, 0.01
SN2005ku, 0.045407, 0.044183, DR3, 0.95, 0.04, 53699.05, 0.87, 0.175, 0.036
SN2005lu, 0.031987, 0.031293, DR3, 1.13, 0.034, 53711.55, 0.68, 0.33, 0.032
SN2005mc, 0.025203, 0.026007, DR3, 0.64, 0.025, 53734.37, 0.64, 0.267, 0.034
SN2005na, 0.026303, 0.026813, DR3, 0.958, 0.006, 53740.26, 0.17, 0.082, 0.016
SN2006D, 0.00852, 0.00964, DR3, 0.814, 0.003, 53757.54, 0.1, 0.154, 0.013
SN2006X, 0.005237, 0.00632, DR3, 0.972, 0.006, 53786.34, 0.06, 1.381, 0.014
SN2006ax, 0.016727, 0.017957, DR3, 0.987, 0.004, 53827.11, 0.49, 0.039, 0.012
SN2006bd, 0.025707, 0.026797, DR3, 0.376, 0.013, 53824.47, 0.15, 0.22, 0.038
SN2006bh, 0.01084, 0.010493, DR3, 0.801, 0.003, 53833.46, 0.49, 0.051, 0.01
SN2006br, 0.024573, 0.025523, DR3, 0.909, 0.029, 53850.61, 0.79, 1.006, 0.044
SN2006ef, 0.01787, 0.017027, DR3, 0.837, 0.02, 53969.24, 0.73, 0.035, 0.025
SN2006ej, 0.020437, 0.019337, DR3, 0.829, 0.018, 53975.97, 0.22, 0.075, 0.023
SN2006eq, 0.049467, 0.048367, DR3, 0.616, 0.023, 53979.18, 0.26, 0.2, 0.034
SN2006et, 0.022157, 0.021647, DR3, 1.093, 0.007, 53993.85, 0.11, 0.274, 0.01
SN2006ev, 0.028713, 0.0276, DR3, 0.846, 0.019, 53989.71, 0.23, 0.253, 0.033
SN2006fw, 0.082943, 0.081987, DR3, 0.888, 0.049, 54003.57, 0.68, 0.301, 0.034
SN2006gj, 0.028333, 0.026967, DR3, 0.657, 0.007, 54000.41, 0.14, 0.292, 0.02
SN2006gt, 0.04474, 0.043643, DR3, 0.554, 0.008, 54003.56, 0.54, 0.078, 0.017
SN2006hb, 0.015333, 0.015337, DR3, 0.673, 0.018, 54003.02, 0.55, 0.109, 0.024
SN2006hx, 0.045463, 0.044403, DR3, 0.988, 0.017, 54021.77, 0.14, 0.238, 0.02
SN2006is, 0.031333, 0.03142, DR3, 1.323, 0.026, 54005.34, 0.77, 0.018, 0.015
SN2006kf, 0.021287, 0.0208, DR3, 0.733, 0.004, 54041.31, 0.04, 0.054, 0.024
SN2006lu, 0.053367, 0.054397, DR3, 1.049, 0.022, 54034.42, 0.25, 0.046, 0.027
SN2006mr, 0.005867, 0.00551, DR3, 0.245, 0.004, 54050.75, 0.14, 0.024, 0.02
SN2006ob, 0.059197, 0.058257, DR3, 0.725, 0.011, 54063.47, 0.59, 0.08, 0.015
SN2006os, 0.032787, 0.03208, DR3, 0.92, 0.023, 54064.44, 0.69, 0.436, 0.039
SN2006py, 0.05786, 0.056643, DR3, 0.95, 0.026, 54070.87, 0.28, 0.166, 0.019
SN2007A, 0.017633, 0.016463, DR3, 1.012, 0.011, 54112.96, 0.06, 0.29, 0.018
SN2007N, 0.01287, 0.014, DR3, 0.304, 0.007, 54123.51, 0.57, 0.209, 0.038
SN2007S, 0.01387, 0.015023, DR3, 1.114, 0.009, 54144.36, 0.06, 0.523, 0.013
SN2007af, 0.00546, 0.00629, DR3, 0.925, 0.003, 54174.41, 0.03, 0.194, 0.013
